"Says his policy is that health insurance should always cover preexisting conditions","https://www.politifact.com//factchecks/2020/sep/03/david-perdue/georgia-sen-perdues-record-preexisting-conditions-/","1"
"Says Donald Trump was photographed wearing blackface","https://www.politifact.com//factchecks/2019/feb/22/viral-image/no-donald-trump-wasnt-photographed-blackface/","0"
"So vote","https://www.politifact.com//factchecks/2020/oct/14/facebook-posts/facebook-video-edits-joe-bidens-comments-running-s/","2"
"All of the aid has not arrived to Ukraine","https://www.politifact.com//factchecks/2020/feb/03/val-demings/ukraine-really-still-waiting-us-aid-small-amount-s/","4"
"Californians pay the highest electricity bills in the nation","https://www.politifact.com//factchecks/2017/nov/16/john-cox/does-california-have-highest-electricity-bills-nat/","1"
"California wont let law enforcement officers like you and your people transfer prisoners to ICE custody or even to communicate with ICE that youre about to release them from your custody people that ICE is looking for","https://www.politifact.com//factchecks/2018/mar/07/jeff-sessions/jeff-sessions-misleading-claim-california-bans-pol/","2"
"Joe Biden wants to get rid of something called stepped up basis that reduces inheritance taxes","https://www.politifact.com//factchecks/2020/oct/29/facebook-posts/yes-biden-seeks-eliminate-policy-reduces-inheritan/","5"
"for fastest rising teacher pay 20162017","https://www.politifact.com//factchecks/2018/sep/07/michael-lee/nc-senator-claims-teacher-pay-increased-under-repu/","4"
"Says Donald Trump tweeted I ordered the Treasury secretary to send checks to Americans","https://www.politifact.com//factchecks/2020/mar/19/viral-image/no-trump-didnt-tweet-about-1000-checks/","0"
"Just the United States","https://www.politifact.com//factchecks/2019/sep/25/donald-trump/donald-trump-said-european-nations-have-not-put-mo/","2"
"Sure","https://www.politifact.com//factchecks/2020/jun/05/viral-image/no-photo-doesnt-prove-coronavirus-hoax/","1"
"Says the Obamas are connected to the Varsity Blues college admissions scandal","https://www.politifact.com//factchecks/2019/oct/11/facebook-posts/no-obamas-have-nothing-do-varsity-blues-college-ad/","1"
"If anyone has set up the keypad to steal your pin code this will cancel that set up","https://www.politifact.com//factchecks/2019/jan/22/facebook-posts/does-pressing-cancel-twice-atm-protect-your-pin-be/","0"
"Says Donald Trump tweeted Corona vaccine from Israel","https://www.politifact.com//factchecks/2020/mar/06/viral-image/no-donald-trump-didnt-tweet-israel-has-coronavirus/","1"
"Treasury Secretary Steven Mnuchin wants to use a government jet that costs 25000 per hour for his honeymoon","https://www.politifact.com//factchecks/2017/sep/18/mark-pocan/did-us-treasury-secretary-steve-mnuchin-want-25000/","4"
"Federal officials confirmed that the CDC sent states tainted lab test kits in early February that were themselves seeded with the virus","https://www.politifact.com//factchecks/2020/jul/08/facebook-posts/batch-faulty-cdc-covid-19-tests-didnt-contain-live/","1"
"Says Beto ORourke wants open borders and wants to take our guns","https://www.politifact.com//factchecks/2018/mar/15/ted-cruz/ted-cruz-says-beto-orourke-wants-open-borders-and-/","1"
"You Americans are so gullible","https://www.politifact.com//factchecks/2020/oct/09/nikki-haley/no-khrushchev-didnt-say-about-americans-60-years-a/","1"
"Says the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive","https://www.politifact.com//factchecks/2020/mar/05/blog-posting/blog-falsely-claims-pope-francis-tested-positive-s/","1"
"Says the 2008 book End of Days predicted the current coronavirus outbreak","https://www.politifact.com//factchecks/2020/feb/26/viral-image/book-end-days-described-illness-2020-not-wuhan-400/","1"
" ","https://www.politifact.com//factchecks/2017/sep/21/mike-pence/mike-pence-erroneously-credits-thomas-jefferson-sm/","1"
"World renowned experts declare that we should live normally practice simple hygiene stay home when sick and use protective measures only with the most vulnerable populations","https://www.politifact.com//factchecks/2020/oct/27/facebook-posts/great-barrington-herd-immunity-document-widely-dis/","3"
"are you voting for that","https://www.politifact.com//factchecks/2020/sep/23/facebook-posts/no-biden-doesnt-want-dissolve-stock-market/","2"
"A face mask exempt card allows you to cite the ADA and not wear a mask","https://www.politifact.com//factchecks/2020/jun/26/instagram-posts/face-mask-exempt-card-doesnt-exempt-you-wearing-ma/","1"
"COVID literally stands for Chinese Originated Viral Infectious Disease","https://www.politifact.com//factchecks/2020/mar/30/viral-image/covid-stands-coronavirus-disease-2019/","0"
"1","https://www.politifact.com//factchecks/2018/jul/13/blog-posting/soros-not-headed-jail/","0"
"2","https://www.politifact.com//factchecks/2018/oct/08/tammy-baldwin/does-leah-vukmir-support-letting-insurers-deny-cov/","3"
"3","https://www.politifact.com//factchecks/2020/aug/07/bryan-steil/gop-lawmaker-only-tells-part-story-claim-wisconsin/","3"
"So he had a chance to buy in 2015 16000 ventilators at a very low price and he turned it down","https://www.politifact.com//factchecks/2020/mar/25/donald-trump/donald-trump-misses-key-facts-claim-new-york-gover/","1"
"4","https://www.politifact.com//factchecks/2018/nov/02/west-virginia-republican-party/did-west-virginia-lead-way-construction-job-growth/","5"
"6","https://www.politifact.com//factchecks/2019/jan/04/chris-murphy/has-trump-administration-spent-only-6-percent-bord/","2"
"7","https://www.politifact.com//factchecks/2020/feb/29/viral-image/second-viral-post-pops-about-bernie-sanders-minimu/","1"
"8","https://www.politifact.com//factchecks/2018/feb/02/markwayne-mullin/gop-congressman-distorts-obamas-economic-record/","3"
"Says kitchen worker in viral video is potentially spreading coronavirus by blowing into food containers","https://www.politifact.com//factchecks/2020/may/19/viral-image/video-kitchen-worker-blowing-food-wrappers-least-t/","1"
"President Trump has the strongest support percentagewise in our state than any other state in the nation","https://www.politifact.com//factchecks/2019/jan/28/joe-manchin/donald-trumps-approval-rating-highest-all-west-vir/","4"
"Says a video shows Iranian rockets being launched toward U","https://www.politifact.com//factchecks/2020/jan/08/thesavoyshow/popular-instagram-account-recycles-old-iran-missil/","1"
"Russian source behind fake Trump dossier killed in Russian plane crash Rosatom CFO also dead","https://www.politifact.com//factchecks/2018/feb/14/puppetstringnewscom/fake-news-claims-two-russian-officials-dead-plane-/","0"
"A","https://www.politifact.com//factchecks/2019/may/30/viral-image/dre-still-thinks-marijuana-dangerous-drug-kids/","1"
"The Legislative Ethics Commission continues to function","https://www.politifact.com//factchecks/2017/nov/09/michael-madigan/madigans-ethics-panel-malfunction/","2"
"B","https://www.politifact.com//factchecks/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/","1"
